Link,Title,Location,Asking Price,Cash Flow,Gross Revenue,EBITDA,FF&E,Inventory
https://www.bizbuysell.com/Business-Opportunity/buy-sell-trade-electronics-repair-and-retail-store-doral-fl/1966213/?d=undefined,"
                    BUY/SELL/TRADE - Electronics Repair & Retail Store- Doral, FL
                ","
                    Doral, FL (Miami-Dade County)
                    
                ","$125,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/restaurant-equipment-showroom/1894254/?d=undefined,"
                    Restaurant Equipment Showroom
                ","
                    Muscogee County, GA
                    
                ","$895,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/medical-marijuana-online-doctors-clinic/1986284/?d=undefined,"
                    Medical Marijuana Online Doctors Clinic
                ","
                    Phoenix, AZ (Maricopa County)
                    
                ","$50,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/very-successful-and-highly-automated-online-business/2014875/?d=undefined,"
                    Very Successful and Highly Automated Online Business
                ","
                    Los Angeles County, CA (Relocatable)
                    
                ","$99,000
                        ","$101,581
                        ","$290,233
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/well-established-video-recording-company-low-time-commitment/1993204/?d=undefined,"
                    Well established video recording company, low time commitment
                ","
                    Hayden, ID (Kootenai County) (Relocatable)
                    
                ","$863,500
                        ","$150,000
                        ","$200,000
                        ","N/A
                        ","$10,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/13yr-old-online-wig-business-for-sale-low-overhead/2014937/?d=undefined,"
                    13yr old Online Wig Business for Sale - LOW OVERHEAD
                ","
                    Kansas City, MO (Clay County) (Relocatable)
                    
                ","$175,000
                        ","$15,000
                        ","$260,000
                        ",,"$1,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/4-established-direct-mail-monthly-publication/1958556/?d=undefined,"
                    4 Established Direct Mail Monthly Publication
                ","
                    Florida (Relocatable)
                    
                ","$300,000
                        ","$60,000
                        ","$300,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/lms-sis-scheduling-software-for-university-tutoring-centers/1989875/?d=undefined,"
                    LMS / SIS Scheduling Software for University Tutoring Centers
                ","
                    Texas (Relocatable)
                    
                ","$300,000
                        ",,"$60,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/home-based-autopilot-business-makes-4500-mo/1993409/?d=undefined,"
                    Home Based Autopilot Business makes $4500/mo
                ","
                    Pennsylvania (Relocatable)
                    
                ","$42,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/established-amazon-fba-business-tm-branded-products/1961736/?d=undefined,"
                    Established Amazon FBA Business - TM Branded Products -
                ","
                    Florida (Relocatable)
                    
                ","$459,000
                        ","$118,000
                        ","$324,000
                        ","N/A
                        ","$1,000
                        ","$65,000*
                        "
