Link,Title,Location,Asking Price,Cash Flow,Gross Revenue,EBITDA,FF&E,Inventory
https://www.bizbuysell.com/Business-Opportunity/amazon-fba-home-decor-farmhouse-style-chalkboards/1984572/?d=undefined,"
                    Amazon FBA Home Decor - Farmhouse Style Chalkboards
                ","
                    Arizona
                    
                ","$160,000
                        ","$46,092
                        ","$260,261
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/two-established-websites-selling-wineries-and-breweries-in-9-languages/2005476/?d=undefined,"
                    Two Established Websites Selling Wineries and Breweries in 9 Languages
                ","
                    
                    
                ","$30,000
                        ","$0
                        ","N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/profitable-luxury-turo-car-rental-business/2011748/?d=undefined,"
                    Profitable Luxury Turo Car rental business
                ","
                    Los Angeles County, CA
                    
                ","$350,000
                        ","$120,000
                        ","$1,200,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/technology-repair-managed-it-services-lexington-ky/2007710/?d=undefined,"
                    Technology Repair - Managed IT Services - Lexington, KY
                ","
                    Lexington, KY (Fayette County)
                    
                ","$50,000
                        ",,"$135,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/task-management-software-team-communication/1949039/?d=undefined,"
                    Task Management Software/ Team Communication
                ","
                    Palm Beach County, FL
                    
                ","$700,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/premier-lifestyle-brand-of-stand-up-paddleboards/2005560/?d=undefined,"
                    Premier Lifestyle Brand of Stand Up Paddleboards
                ","
                    Reno, NV (Washoe County) (Relocatable)
                    
                ","$650,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/wall-decor-and-canvas-prints-co-w-wayfair-walmart-shopify-1000-sku-s/1949578/?d=undefined,"
                    Wall Decor & Canvas Prints Co. w/Wayfair, WalMart, Shopify 1000+ SKU's
                ","
                    Fort Myers, FL (Lee County) (Relocatable)
                    
                ","$200,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/cooking-show-production-company/2004336/?d=undefined,"
                    Cooking Show Production Company
                ","
                    Nassau County, NY (Relocatable)
                    
                ","$1,500,000
                        ","$350,097
                        ","$473,790
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/social-media-platform/1949026/?d=undefined,"
                    Social Media Platform
                ","
                    Palm Beach County, FL
                    
                ","$600,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/2x-turn-key-phone-repair-stores/2006459/?d=undefined,"
                    2x Turn Key Phone Repair Stores!
                ","
                    Mesa, AZ (Maricopa County)
                    
                ","$125,000
                        ","$70,000
                        ","$300,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/sportswear-brand-with-great-potential/2005495/?d=undefined,"
                    Sportswear Brand with Great Potential
                ","
                    Gig Harbor, WA (Pierce County) (Relocatable)
                    
                ","$59,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/best-of-the-bay-serial-winner-apple-repair-shop/1950894/?d=undefined,"
                    Best of the Bay serial winner - Apple repair shop
                ","
                    Sonoma County, CA
                    
                ","$350,000
                        ",,"$350,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/fedex-packing-and-shipping-store-with-multiple-passive-income-stream/1988392/?d=undefined,"
                    FEDEX Packing & Shipping Store with Multiple Passive Income Stream
                ","
                    Forsyth County, GA
                    
                ","$69,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/call-center-over-20k-and-up-monthly-income-low-overhead-turnkey/1984716/?d=undefined,"
                    Call Center over 20k and up Monthly Income - Low Overhead-Turnkey.
                ","
                    Houston, TX (Harris County)
                    
                ","$35,000
                        ","$195,000
                        ","N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/multi-faceted-picture-frame-business/2001296/?d=undefined,"
                    Multi-Faceted Picture Frame Business
                ","
                    Fairfield County, CT
                    
                ","$125,000
                        ",,"$160,000
                        ","N/A
                        ","$25,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/established-electronic-repair-shop-5-star-google-rating-low-rent/2008431/?d=undefined,"
                    Established Electronic Repair Shop - 5 Star Google Rating - Low Rent!!
                ","
                    Pembroke Pines, FL (Broward County)
                    
                ","$65,000
                        ",,"$140,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/low-investment-turnkey-existing-business-in-leesburg-va/2009590/?d=undefined,"
                    Low Investment - Turnkey Existing Business in Leesburg, VA
                ","
                    Leesburg, VA (Loudoun County)
                    
                ","$75,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/multichannel-ecommerce-brand-offering-general-consumer-merchandis/2010063/?d=undefined,"
                    MultiChannel eCommerce Brand offering General Consumer Merchandis
                ","
                    Tampa, FL (Hillsborough County) (Relocatable)
                    
                ","$1,400,000
                        ","$519,266
                        ","$1,377,698
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/camping-and-outdoor-gear-dropshipping-e-commerce-website/1988715/?d=undefined,"
                    Camping & Outdoor Gear Dropshipping E-commerce Website
                ","
                    California
                    
                ","$40,000
                        ","$29,000
                        ","$130,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/website-software-wordpress-plugin/1953820/?d=undefined,"
                    Website Software - Wordpress Plugin
                ","
                    Boca Raton, FL (Palm Beach County)
                    
                ","$24,999
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/profitable-cell-phone-electronics-repair-business-with-4-locations/1998902/?d=undefined,"
                    Profitable Cell Phone Electronics Repair Business with 4 Locations
                ","
                    Philadelphia, PA (Philadelphia County)
                    
                ","$595,000
                        ","$200,000
                        ","$1,360,000
                        ",,"$60,000
                        ","$60,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/real-estate-software-app/1954670/?d=undefined,"
                    Real Estate Software App
                ","
                    Boca Raton, FL (Palm Beach County)
                    
                ","$250,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/financial-payment-platform/1954630/?d=undefined,"
                    Financial Payment Platform
                ","
                    Queens, NY (Queens County)
                    
                ","$1,499,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/ubreakifix-two-well-established-stores-for-sale/1952667/?d=undefined,"
                    UBREAKIFIX - Two Well Established Stores For Sale
                ","
                    Connecticut
                    
                ","$750,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/3d-crystals-engraving-everything-included/2005655/?d=undefined,"
                    3D crystals engraving EVERYTHING included
                ","
                    Los Angeles, CA (Los Angeles County)
                    
                ","$129,000
                        ","$15,000
                        ","$145,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/ecommerce-store-featuring-gaming-consoles-pc-s-videos-games-and-more/2011944/?d=undefined,"
                    Ecommerce store featuring Gaming consoles, PC's, Videos Games and more
                ","
                    Denver County, CO (Relocatable)
                    
                ","$10,295
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/philadelphia-eagles-online-apparel-store/2011444/?d=undefined,"
                    Philadelphia Eagles online apparel store.
                ","
                    Philadelphia County, PA (Relocatable)
                    
                ","$15,900
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/busy-traffic-cell-phone-store/1955703/?d=undefined,"
                    BUSY Traffic Cell Phone Store
                ","
                    San Bernardino County, CA
                    
                ","$35,000
                        ",,"$600,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/industry-leading-business-brokerage-franchise-sales-solution/2012255/?d=undefined,"
                    Industry Leading Business Brokerage / Franchise Sales Solution
                ","
                    Fort Worth, TX (Tarrant County)
                    
                ","$395,000
                        ","$250,000
                        ","N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/established-fast-growing-e-commerce-home-improvement-biz-relocatable/2012328/?d=undefined,"
                    Established, Fast Growing E-commerce Home Improvement Biz- Relocatable
                ","
                    
                    
                ","$400,000
                        ","$162,000
                        ","$846,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/full-service-digital-marketing-agency/2006423/?d=undefined,"
                    Full-Service Digital Marketing Agency
                ","
                    Los Angeles County, CA (Relocatable)
                    
                ","$1,800,000
                        ","$507,700
                        ","$1,380,023
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/consumer-product-importer-distributor-retailer/1992355/?d=undefined,"
                    Consumer Product Importer/Distributor/Retailer
                ","
                    Salt Lake County, UT
                    
                ","$1,500,000
                        ","$425,000
                        ","$1,850,000
                        ","N/A
                        ","$10,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/dominate-the-fitness-and-wellness-industry-e-commerce/2012245/?d=undefined,"
                    Dominate the Fitness and Wellness Industry - e-commerce
                ","
                    Atlanta, GA (Fulton County)
                    
                ","$395,000
                        ","$250,000
                        ","N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/profitable-chain-of-cell-phone-repair-stores-4-locations-se-michigan/2009536/?d=undefined,"
                    Profitable Chain of Cell Phone Repair Stores (4 Locations-SE Michigan)
                ","
                    Oakland County, MI
                    
                ","$725,000
                        ","$260,000
                        ","$970,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/retail-computer-store-it-sales-and-service/1954340/?d=undefined,"
                    Retail Computer Store IT Sales and Service
                ","
                    Greensboro, NC (Guilford County)
                    
                ","$150,000
                        ","$90,000
                        ","$275,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/established-amazon-listing-led-sound-bar/1994367/?d=undefined,"
                    Established amazon listing / Led sound bar
                ","
                    American Fork, UT (Utah County) (Relocatable)
                    
                ","$30,000
                        ",,"$87,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/amazon-business-grocery-items/2003411/?d=undefined,"
                    Amazon Business - Grocery Items
                ","
                    
                    
                ","$30,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/book-publisher-ebook-pod-audiobook-plus-royalty-software/1967854/?d=undefined,"
                    Book Publisher--Ebook, POD, Audiobook, Plus Royalty Software
                ","
                    
                    
                ","$148,000
                        ",,"$220,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/it-service-provider-primed-for-growth/1994792/?d=undefined,"
                    IT Service Provider Primed for Growth
                ","
                    Collier County, FL
                    
                ","$340,000
                        ","$122,151
                        ","$440,911
                        ","N/A
                        ","$65,000
                        ","$5,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/a-leader-in-electrical-testing-of-the-wafers-of-individual-chips/1980677/?d=undefined,"
                    A leader in electrical testing of the wafers of individual chips
                ","
                    Oregon
                    
                ","$1,500,000
                        ",,"$1,293,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/award-winning-app-development-company/1923885/?d=undefined,"
                    Award Winning App Development Company
                ","
                    Boca Raton, FL (Palm Beach County)
                    
                ","$490,000
                        ","$232,533
                        ","$326,821
                        ",,"N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/the-most-complete-pregnancy-fitness-system/1954674/?d=undefined,"
                    The Most Complete Pregnancy Fitness System
                ","
                    Boca Raton, FL (Palm Beach County)
                    
                ","$75,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/50-000-option-fee-for-the-domain-3-from-online-sales/1779710/?d=undefined,"
                    $50,000 Option Fee For The Domain +3% From Online Sales
                ","
                    Crystal, MN (Hennepin County)
                    
                ","$50,000
                        ",,"$2,000,000
                        ","N/A
                        ","N/A
                        ","$1*
                        "
https://www.bizbuysell.com/Business-Opportunity/manufacturer-and-wholesaler-of-consumer-electronic-protection-films/1915432/?d=undefined,"
                    Manufacturer and Wholesaler of Consumer Electronic Protection Films
                ","
                    Mesa, AZ (Maricopa County) (Relocatable)
                    
                ","$105,000
                        ","$25,000
                        ","$0
                        ","N/A
                        ","$25,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/virtual-sales-robot-using-intent-data/1990417/?d=undefined,"
                    Virtual Sales Robot Using Intent Data
                ","
                    Sandy, UT (Salt Lake County) (Relocatable)
                    
                ","$250,000
                        ","$2,960
                        ","$2,960
                        ","N/A
                        ","$2,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/e-commerce-retail-skateboard-industry-business-online-sales/1801659/?d=undefined,"
                    E-commerce Retail Skateboard Industry Business OnLine Sales
                ","
                    Chico, CA (Butte County)
                    
                ","$1,500,000
                        ","$325,000
                        ","$1,500,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/established-table-tennis-business/1994540/?d=undefined,"
                    Established Table Tennis Business
                ","
                    Travis County, TX (Relocatable)
                    
                ","$60,000
                        ","$19,902
                        ","$38,000
                        ",,"N/A
                        ","$9,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/groundbreaking-women-s-cycling-apparel-company/1910138/?d=undefined,"
                    Groundbreaking Women's Cycling Apparel Company
                ","
                    California (Relocatable)
                    
                ","$95,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/established-on-line-violin-shop-proven-shopify-performance/1996466/?d=undefined,"
                    Established on-line Violin Shop. Proven Shopify performance
                ","
                    Rapid City, SD (Pennington County) (Relocatable)
                    
                ","$200,000
                        ","$64,000
                        ","$300,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/tm-and-patented-cpg-brand-of-products-that-solve-household-problems/1983814/?d=undefined,"
                    TM & Patented CPG Brand of Products that Solve Household Problems
                ","
                    Tampa, FL (Hillsborough County) (Relocatable)
                    
                ","$1,500,000
                        ","$661,578
                        ","$1,475,158
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/fb-marketplace-business-for-value-of-inventory/1997075/?d=undefined,"
                    FB Marketplace Business -For  Value Of Inventory
                ","
                    Denver, CO (Denver County) (Relocatable)
                    
                ","$46,000
                        ","$50,812
                        ","$230,699
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/rapid-growth-technology-business-hotel-panic-button/1985163/?d=undefined,"
                    Rapid Growth Technology Business - Hotel Panic Button
                ","
                    Doral, FL (Miami-Dade County) (Relocatable)
                    
                ","$600,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/software-consulting-business-with-solid-clients-and-income/1974371/?d=undefined,"
                    Software Consulting Business With Solid Clients and Income
                ","
                    Los Angeles, CA (Los Angeles County) (Relocatable)
                    
                ","$650,000
                        ","$258,683
                        ","$351,366
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/successful-sports-bicycles-e-commerce/1810398/?d=undefined,"
                    Successful Sports Bicycles e-commerce
                ","
                    Broward County, FL (Relocatable)
                    
                ","$495,000
                        ","$180,500
                        ","$1,000,000
                        ",,"$100,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/industry-leading-business-brokerage-franchise-sales-solution/1986318/?d=undefined,"
                    Industry Leading Business Brokerage / Franchise Sales Solution
                ","
                    Atlanta, GA (Fulton County)
                    
                ","$395,000
                        ","$250,000
                        ","N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/on-line-e-commerce-store-a-completely-automated-fba-store/1966474/?d=undefined,"
                    On Line E-commerce store. A completely automated FBA store
                ","
                    
                    
                ","$40,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/health-and-fitness-app/1930947/?d=undefined,"
                    Health and Fitness App
                ","
                    Troy, MI (Oakland County) (Relocatable)
                    
                ","$1,000,000
                        ","$300,000
                        ","$2,000,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/profitable-established-phone-and-computer-mobile-repair-business/2017084/?d=undefined,"
                    Profitable established phone & computer mobile repair business
                ","
                    Los Angeles, CA (Los Angeles County)
                    
                ","$90,000
                        ","$43,000
                        ","$110,000
                        ","N/A
                        ","N/A
                        ","$5,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/sba-pre-qualified-automotive-accessories-brand-amazon-fba-business/1989138/?d=undefined,"
                    SBA Pre-Qualified – Automotive Accessories Brand Amazon FBA Business
                ","
                    
                    
                ","$1,190,000
                        ",,"$1,155,994
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/employee-relationship-saas-business/1989973/?d=undefined,"
                    Employee Relationship SaaS Business
                ","
                    
                    
                ","$325,000
                        ",,"$686,624
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/amazon-fba-company-proprietary-gift-baskets-with-a-kitting-team/1989428/?d=undefined,"
                    Amazon FBA Company – Proprietary Gift Baskets with a Kitting Team
                ","
                    Tampa, FL (Hillsborough County) (Relocatable)
                    
                ","$1,900,000
                        ","$516,125
                        ","$2,353,624
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/profitable-25-year-old-legendary-e-commerce-bike-and-bike-parts-shops/1982227/?d=undefined,"
                    Profitable 25 Year Old, Legendary E-Commerce Bike & Bike Parts Shops
                ","
                    New York (Relocatable)
                    
                ","$599,000
                        ","$156,171
                        ","$772,325
                        ","N/A
                        ","$5,400
                        ",
https://www.bizbuysell.com/Business-Opportunity/buy-sell-trade-electronics-repair-business-oldsmar-fl/1908596/?d=undefined,"
                    BUY/SELL/TRADE - Electronics Repair Business- Oldsmar, FL
                ","
                    Oldsmar, FL (Pinellas County)
                    
                ","$150,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/40-year-old-established-made-in-the-usa-outdoor-bag-brand/1927321/?d=undefined,"
                    40 year old established Made in the USA outdoor bag brand
                ","
                    Monroe, WA (Snohomish County) (Relocatable)
                    
                ","$240,000
                        ","$60,000
                        ","$180,000
                        ","N/A
                        ","$60,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/new-horizons-computer-learning-center-for-sale/1995359/?d=undefined,"
                    New Horizons Computer Learning Center For Sale
                ","
                    Urbandale, IA (Polk County)
                    
                ","$175,000
                        ","$650,000
                        ","N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/scalable-online-marketplace-in-the-pet-services-industry/1997520/?d=undefined,"
                    Scalable Online Marketplace in the Pet Services Industry
                ","
                    Mobile, AL (Mobile County)
                    
                ","$260,000
                        ",,"$20,500
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/established-computer-repair-business/1994164/?d=undefined,"
                    Established Computer Repair Business
                ","
                    Corsicana, TX (Navarro County)
                    
                ","$100,000
                        ","$80,000
                        ","$132,000
                        ",,"$10,000
                        ","$2,500*
                        "
https://www.bizbuysell.com/Business-Opportunity/established-profitable-ecommerce-auto-parts-store/1962326/?d=undefined,"
                    Established, Profitable, ECommerce Auto Parts Store
                ","
                    California (Relocatable)
                    
                ","$350,000
                        ","$179,177
                        ","$2,025,716
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/b2b-wholesale-distribution-company-huntsville-al/1999318/?d=undefined,"
                    B2B Wholesale Distribution Company - Huntsville, AL
                ","
                    Huntsville, AL (Madison County)
                    
                ","$280,000
                        ",,"$80,000
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/10-year-online-organic-skincare-business-ecommerce/1976780/?d=undefined,"
                    10+ Year Online Organic Skincare Business Ecommerce
                ","
                    Austin, TX (Travis County) (Relocatable)
                    
                ","$625,000
                        ",,"N/A
                        ","N/A
                        ",,"$90,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/amazon-sales-manufacture-in-usa-patent/1998178/?d=undefined,"
                    Amazon Sales + Manufacture in USA + Patent
                ","
                    Riverside, CA (Riverside County) (Relocatable)
                    
                ","$349,997
                        ",,"$416,939
                        ","N/A
                        ","N/A
                        ","$50,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/b2b-wholesale-distribution-warehouse-long-island-ny/1999321/?d=undefined,"
                    B2B Wholesale Distribution Warehouse - Long Island, NY
                ","
                    Bay Shore, NY (Suffolk County)
                    
                ","$440,000
                        ",,"$100,000
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/b2b-wholesale-distribution-seattle-wa/1999329/?d=undefined,"
                    B2B Wholesale Distribution - Seattle, WA
                ","
                    Seattle, WA (King County)
                    
                ","$350,000
                        ",,"$40,000
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/dadeland-mall-kiosk-opportunity/1999665/?d=undefined,"
                    Dadeland Mall - Kiosk opportunity
                ","
                    Kendall, FL (Miami-Dade County)
                    
                ","$200,000
                        ","$98,353
                        ","$397,250
                        ","N/A
                        ","$35,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/computer-repair-business-for-sale/1835391/?d=undefined,"
                    Computer Repair Business For Sale!
                ","
                    Georgia
                    
                ","$449,000
                        ","$159,443
                        ","$535,114
                        ","N/A
                        ","$27,000
                        ","$20,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/casino-supplies-and-equipment-e-commerce/1896435/?d=undefined,"
                    Casino Supplies & Equipment E-Commerce
                ","
                    Las Vegas, NV (Clark County) (Relocatable)
                    
                ","$990,000
                        ","$446,010
                        ","$950,888
                        ",,"N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/amazon-fba-ecommerce-brand-in-the-smart-home-products/1998130/?d=undefined,"
                    Amazon FBA eCommerce Brand in the Smart Home Products
                ","
                    Tampa, FL (Hillsborough County) (Relocatable)
                    
                ","$1,800,000
                        ","$370,443
                        ","$617,405
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/established-amazon-fbm-store-inventory-included-and-women-retail-sto/2001287/?d=undefined,"
                    Established Amazon Fbm Store [Inventory Included] And Women Retail Sto
                ","
                    Visalia, CA (Tulare County)
                    
                ","$1,500,000
                        ","$565,000
                        ","$1,125,000
                        ",,"$81,500
                        ",
https://www.bizbuysell.com/Business-Opportunity/motorcycle-atv-utv-parts-and-accessories-dropship-e-commerce-website/2001306/?d=undefined,"
                    Motorcycle, ATV, UTV Parts & Accessories Dropship E-commerce Website
                ","
                    California (Relocatable)
                    
                ","$400,000
                        ","$165,000
                        ","$1,300,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/home-goods-electronics-shopping-mall-ecommerce-dropshipping-website/2001241/?d=undefined,"
                    Home Goods, Electronics, Shopping Mall Ecommerce Dropshipping Website
                ","
                    California (Relocatable)
                    
                ","$25,000
                        ","$14,000
                        ","$76,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/organic-superfood-ingredients-and-snack-foods-brand/2000753/?d=undefined,"
                    Organic Superfood Ingredients & Snack Foods Brand
                ","
                    Tampa, FL (Hillsborough County) (Relocatable)
                    
                ","$2,000,000
                        ","$619,055
                        ","$2,300,366
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/hands-off-established-amazon-business/2001121/?d=undefined,"
                    Hands Off Established Amazon Business
                ","
                    Dallas, TX (Dallas County) (Relocatable)
                    
                ","$24,000
                        ","$15,000
                        ","$60,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/established-low-touch-services-agency-with-a-strong-brand-and-team/2001774/?d=undefined,"
                    Established, low-touch services agency with a strong brand and team
                ","
                    Austin, TX (Travis County) (Relocatable)
                    
                ","$1,800,000
                        ","$247,000
                        ","$1,400,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/sign-company-in-fantastic-location/2002814/?d=undefined,"
                    Sign Company in Fantastic Location
                ","
                    Manatee County, FL
                    
                ","$170,000
                        ","$90,642
                        ","$333,482
                        ","N/A
                        ","$50,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/established-international-e-commerce-brand-food-supplements/2002488/?d=undefined,"
                    Established International E-commerce Brand Food Supplements
                ","
                    Hendersonville, NC (Henderson County)
                    
                ","$120,000
                        ","$100,000
                        ","$105,850
                        ",,"N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/surging-it-services-business/2003432/?d=undefined,"
                    Surging IT Services Business
                ","
                    Lee County, FL (Relocatable)
                    
                ","$1,200,000
                        ","$246,491
                        ","$841,786
                        ","N/A
                        ","$10,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/client-greeting-software-company/1944522/?d=undefined,"
                    Client Greeting Software Company
                ","
                    San Mateo County, CA (Relocatable)
                    
                ","$500,000
                        ","$50,653
                        ","$50,653
                        ",,"$850,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/patented-shoulder-holster-business-for-sale/1834918/?d=undefined,"
                    Patented shoulder holster business for sale
                ","
                    Idaho (Relocatable)
                    
                ","$89,000
                        ",,"$37,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/florist-for-sale-amazing-opportunity-owner-operator-1m-annual-revenues/1962618/?d=undefined,"
                    Florist For Sale Amazing Opportunity Owner Operator 1M Annual Revenues
                ","
                    Queens, NY (Queens County) (Relocatable)
                    
                ","$399,999
                        ","$150,000
                        ","$1,000,000
                        ",,"$175,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/profitable-cellphone-computer-tablet-drone-repair-company-for-sale/1960811/?d=undefined,"
                    Profitable Cellphone, computer, tablet, drone repair company for sale
                ","
                    Bellingham, WA (Whatcom County)
                    
                ","$50,000
                        ","$35,000
                        ","$300,000
                        ",,"$10,000
                        ","$30,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/southeast-minnesota-computer-sales-and-service/1851181/?d=undefined,"
                    Southeast Minnesota Computer Sales and Service
                ","
                    Minnesota (Relocatable)
                    
                ","$499,000
                        ","$175,998
                        ","$724,656
                        ","N/A
                        ","$120,672
                        ",
https://www.bizbuysell.com/Business-Opportunity/financial-consulting-software-enhance-profitability/1818225/?d=undefined,"
                    Financial Consulting Software Enhance Profitability
                ","
                    San Jose, CA (Santa Clara County) (Relocatable)
                    
                ","$295,000
                        ",,"$2,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/internet-sales-musical-led-lighting-equipment-and-supplies/1863379/?d=undefined,"
                    Internet Sales - Musical LED Lighting Equipment & Supplies
                ","
                    Raleigh, NC (Wake County) (Relocatable)
                    
                ","$55,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/audio-visual-biz-discounted-again-by-40/1863575/?d=undefined,"
                    Audio/Visual biz discounted again - by 40%   !!
                ","
                    Garner, NC (Wake County) (Relocatable)
                    
                ","$129,000
                        ","$62,484
                        ","$252,719
                        ",,"$49,800
                        ","$5,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/computer-company-with-3-market-proven-products/1982451/?d=undefined,"
                    Computer company with 3 market proven products
                ","
                    Richmond, TX (Fort Bend County) (Relocatable)
                    
                ","$2,000,000
                        ","$850,000
                        ","N/A
                        ","N/A
                        ",,
