name,price,link,promo
Intel Core i7 10th Gen - Core i7-10700K Comet Lake 8-Core 3.8 GHz LGA 1200 125W Desktop Processor w/ Intel UHD Graphics 630,199.00,https://www.newegg.com/intel-core-i7-10700k-core-i7-10th-gen/p/N82E16819118123,"Get Arcadegeddon Bundle w/ purchase, limited offer"
AMD Ryzen 5 4500 - Ryzen 5 4000 Series 6-Core Socket AM4 65W Desktop Processor - 100-100000644BOX,199.00,https://www.newegg.com/amd-ryzen-5-4500-ryzen-5-4000/p/N82E16819113738,
Intel Core i3-12100 - Core i3 12th Gen Alder Lake Quad-Core 3.3 GHz LGA 1700 Processor 60W Intel UHD Graphics 730 Desktop Processor - BX8071512100,199.00,https://www.newegg.com/intel-core-i3-12100-core-i3-12th-gen/p/N82E16819118370,"+ $5 off w/ promo code W6BBV2348, limited offer"
Intel Core i7-12700F - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA 1700 65W Desktop Processor - BX8071512700F,199.00,https://www.newegg.com/intel-core-i7-12700f-core-i7-12th-gen/p/N82E16819118359,
Intel Core i9-12900KS - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.4 GHz LGA 1700 150W Intel UHD Graphics 770 Desktop Processor - BX8071512900KS,199.00,https://www.newegg.com/intel-core-i9-12900ks-core-i9-12th-gen/p/N82E16819118392,"Get Arcadegeddon Bundle w/ purchase, limited offer"
Intel Core i5-11600K - Core i5 11th Gen Rocket Lake 6-Core 3.9 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811600K,199.00,https://www.newegg.com/intel-core-i5-11600k-core-i5-11th-gen/p/N82E16819118235,
Intel Core i7-11700KF - Core i7 11th Gen Rocket Lake 8-Core 3.6 GHz LGA 1200 125W Desktop Processor - BX8070811700KF,199.00,https://www.newegg.com/intel-core-i7-11700kf-core-i7-11th-gen/p/N82E16819118260,
Intel Core i5-11500 - Core i5 11th Gen Rocket Lake 6-Core 2.7 GHz LGA 1200 65W Intel UHD Graphics 750 Desktop Processor - BX8070811500,199.00,https://www.newegg.com/intel-core-i5-11500-core-i5-11th-gen/p/N82E16819118240,
Intel Core i9-10900 - Core i9 10th Gen Comet Lake 10-Core 2.8 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110900,199.00,https://www.newegg.com/intel-core-i9-10900-core-i9-10th-gen/p/N82E16819118125,
Intel Core i9-10900K - Core i9 10th Gen Comet Lake 10-Core 3.7 GHz LGA 1200 125W Intel UHD Graphics 630 Desktop Processor - BX8070110900K,199.00,https://www.newegg.com/intel-core-i9-10900k-core-i9-10th-gen/p/N82E16819118122,"Get Arcadegeddon Bundle w/ purchase, limited offer"
Intel Core i7-12700KF - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Desktop Processor - BX8071512700KF,199.00,https://www.newegg.com/intel-core-i7-12700kf-core-i7-12th-gen/p/N82E16819118345,
Intel Core i5-12600KF - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Desktop Processor - BX8071512600KF,199.00,https://www.newegg.com/intel-core-i5-12600kf-core-i5-12th-gen/p/N82E16819118349,
Intel Core i5-11400F - Core i5 11th Gen Rocket Lake 6-Core 2.6 GHz LGA 1200 65W Desktop Processor - BX8070811400F,199.00,https://www.newegg.com/intel-core-i5-11400f-core-i5-11th-gen/p/N82E16819118264,
Intel Core i7-10700 - Core i7 10th Gen Comet Lake 8-Core 2.9 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110700,199.00,https://www.newegg.com/intel-core-i7-10700-core-i7-10th-gen/p/N82E16819118126,
